word,count
scored,25
setting,25
sideline,25
signed,25
situations,25
stance,25
star,25
stays,25
stout,25
tds,25
without,25
26,24
7,24
9,24
allow,24
allowing,24
attempts,24
attention,24
averaged,24
bloodlines,24
class,24
continue,24
defended,24
east,24
either,24
emerged,24
extremely,24
family,24
instinctive,24
linemen,24
me,24
momentum,24
prep,24
project,24
punch,24
reach,24
richardson,24
stride,24
sudden,24
throw,24
30,23
block,23
combine,23
committed,23
country,23
defenses,23
difficult,23
division,23
drafted,23
enter,23
explosiveness,23
int,23
nearly,23
put,23
questionable,23
red,23
s,23
single,23
slip,23
smaller,23
stop,23
sustain,23
took,23
well-built,23
25,22
allows,22
bad,22
between,22
box,22
collegiate,22
dominate,22
duties,22
fits,22
immediate,22
intensity,22
leave,22
leg,22
medical,22
mirror,22
ohio,22
pad,22
penalties,22
rangy,22
redirect,22
respected,22
roster,22
rushed,22
simply,22
spent,22
team's,22
traditional,22
urgency,22
virginia,22
warrant,22
week,22
100,21
40,21
6,21
arizona,21
averaging,21
career-high,21
chose,21
clean,21
clemson,21
closes,21
concern,21
confidence,21
depth,21
ended,21
exceptional,21
extends,21
eye,21
finesse,21
gear,21
generate,21
good-sized,21
having,21
ideally,21
mark,21
muscular,21
patient,21
poor,21
questions,21
reads,21
returning,21
returns,21
seeing,21
standout,21
stiff,21
tennessee,21
tigers,21
upfield,21
went,21
zones,21
20,20
above,20
adjusts,20
approach,20
attacks,20
breakout,20
broke,20
came,20
chase,20
disengage,20
efficient,20
eligibility,20
elude,20
finalist,20
four-star,20
generally,20
give,20
intangibles,20
kicks,20
leadership,20
lets,20
mostly,20
near,20
pedal,20
playmaker,20
possessing,20
program,20
proper,20
release,20
route-runner,20
sam,20
secure,20
served,20
sets,20
slide,20
smoothly,20
split,20
staff,20
stick,20
tech,20
terms,20
then,20
three-star,20
understands,20
upper,20
violation,20
wasn't,20
whistle,20
100-yard,19
50,19
agile,19
backpedal,19
ballcarriers,19
becoming,19
breaking,19
breakups,19
bull,19
catcher,19
coaching,19
competes,19
consideration,19
cornerbacks,19
discipline,19
disruptive,19
driving,19
factor,19
future,19
grab,19
keeping,19
knocked,19
linebackers,19
perimeter,19
placement,19
possession,19
presence,19
push,19
recover,19
reserve,19
rotation,19
savvy,19
schemes,19
suffering,19
two-year,19
upon,19
washington,19
21-year-old,18
adjustments,18
appeared,18
balls,18
community,18
concentration,18
davis,18
decided,18
degree,18
desired,18
emerge,18
fairly,18
frequently,18
full-time,18
holes,18
ii,18
jackson,18
league,18
learning,18
least,18
legitimate,18
locates,18
loses,18
movements,18
mvp,18
players,18
quite,18
react,18
read,18
redshirting,18
regular,18
resume,18
shifty,18
shot,18
shown,18
slow,18
snaps,18
something,18
stanford,18
temperament,18
tightness,18
underneath,18
winner,18
16,17
2008,17
3.5,17
add,17
bcs,17
cannot,17
career-bests,17
clowney,17
contributor,17
demeanor,17
different,17
energy,17
far,17
fourth,17
gears,17
holding,17
holds,17
home,17
improvement,17
it's,17
knock,17
lose,17
mentality,17
michigan,17
nature,17
oklahoma,17
onto,17
pac-12,17
positional,17
posting,17
produced,17
quicker,17
ran,17
recruited,17
screens,17
semifinalist,17
swim,17
tfl,17
timed,17
transfer,17
until,17
variety,17
waist,17
wr,17
37,16
acc,16
again,16
broncos,16
contribute,16
convert,16
coordinated,16
coordinator,16
derek,16
developed,16
disciplined,16
dropped,16
energetic,16
entered,16
exciting,16
extending,16
five-technique,16
fullback,16
grabs,16
gunner,16
hill,16
houston,16
initially,16
later,16
lined,16
looked,16
lost,16
mass,16
mature,16
minimal,16
missouri,16
others,16
plant,16
positioning,16
pro-style,16
process,16
proved,16
rarely,16
really,16
rise,16
robinson,16
secondary,16
security,16
selected,16
stand-up,16
stiffness,16
suddenness,16
suspension,16
throwing,16
veteran,16
vulnerable,16
want,16
well-proportioned,16
williams,16
17,15
21,15
28,15
29,15
34,15
43,15
aggressively,15
all-around,15
all-state,15
already,15
arrived,15
bay,15
belt,15
carriers,15
cb,15
creative,15
decisive,15
desirable,15
determined,15
diego,15
draw,15
dropping,15
dynamic,15
explode,15
get-off,15
green,15
hardworking,15
hybrid,15
kickoff,15
lines,15
losing,15
martin,15
massive,15
obvious,15
offer,15
opener,15
pair,15
particularly,15
perhaps,15
polished,15
professional,15
protect,15
pushed,15
qb,15
quality,15
quick-footed,15
sports,15
tape,15
thin,15
turning,15
ultimately,15
usc,15
victory,15
watkins,15
weak,15
whether,15
40-yard,14
added,14
all-mac,14
allowed,14
almost,14
although,14
army,14
attacking,14
ball-carriers,14
ballskills,14
blitz,14
brown,14
churning,14
coachable,14
cowboys,14
creates,14
crowd,14
dash,14
fighting,14
finisher,14
hasn't,14
heels,14
intrigue,14
iowa,14
james,14
jets,14
knees,14
likes,14
mental,14
motivated,14
narrow,14
needed,14
opponent,14
opportunity,14
option,14
overaggressive,14
passer,14
path,14
performer,14
points,14
prior,14
prospects,14
punts,14
racking,14
ranked,14
reactions,14
rivals.com,14
rotational,14
safeties,14
scout,14
season-ending,14
securing,14
sees,14
shy,14
skill-set,14
son,14
stock,14
stretches,14
think,14
title,14
together,14
tree,14
underpowered,14
underrated,14
unrefined,14
usa,14
viewed,14
weight-room,14
willingness,14
worked,14
worker,14
18,13
24,13
27,13
36,13
5.5,13
accuracy,13
all-mwc,13
all-time,13
benefit,13
big-play,13
brother,13
changing,13
chest,13
compares,13
competitiveness,13
consistency,13
contain,13
continued,13
craft,13
creativity,13
deceptive,13
dependable,13
determination,13
dominant,13
efficiently,13
elected,13
exhibits,13
fact,13
fall,13
gilbert,13
goal,13
grade,13
hitter,13
i'm,13
imposing,13
intelligence,13
jim,13
lanky,13
limbs,13
long-armed,13
means,13
member,13
motion,13
ncaa,13
ordinary,13
passion,13
penetrate,13
positions,13
potentially,13
provide,13
question,13
quick-twitch,13
result,13
roles,13
significant,13
simple,13
snatch,13
steady,13
stops,13
subtle,13
targets,13
thickly,13
three-time,13
touch,13
touches,13
towards,13
transferred,13
turns,13
utah,13
young,13
19,12
23,12
31,12
32,12
48,12
aggression,12
ago,12
all-mountain,12
ankles,12
appear,12
below,12
bends,12
benjamin,12
boyd,12
bryant,12
cal,12
california,12
cleanly,12
coleman,12
combined,12
comfortable,12
considered,12
cross,12
de,12
dip,12
duke,12
enjoyed,12
entering,12
entire,12
flags,12
gap,12
gifted,12
giving,12
goes,12
grabby,12
guy,12
here,12
hurry,12
impressed,12
johnson,12
lee,12
less,12
listed,12
locker,12
long-term,12
m,12
mason,12
mississippi,12
niche,12
on-field,12
parts,12
patterns,12
pile,12
prefer,12
protecting,12
ready,12
refine,12
refinement,12
regularly,12
required,12
rounds,12
routinely,12
sharp,12
slowed,12
spread,12
st,12
stage,12
stephens,12
straight,12
surprise,12
team-high,12
thorpe,12
tide,12
trophy,12
trouble,12
tuitt,12
violent,12
withstand,12
york,12
22,11
33,11
39,11
42,11
45,11
70,11
academic,11
academics,11
accelerate,11
according,11
across,11
additional,11
alignment,11
all-independent,11
appreciate,11
associated,11
biletnikoff,11
blitzer,11
boasting,11
brings,11
buckeyes,11
carve,11
ceiling,11
chargers,11
concussion,11
counters,11
course,11
dangerous,11
diagnose,11
ease,11
edges,11
effectively,11
ellington,11
elusive,11
extension,11
finding,11
fine,11
fla,11
flash,11
flows,11
franklin,11
giants,11
graduated,11
grit,11
growth,11
henderson,11
hesitation,11
i've,11
in-line,11
intelligent,11
interest,11
league's,11
leap,11
linear,11
media,11
mismatch,11
monotone,11
musculature,11
naturally,11
number,11
occasion,11
off-man,11
offseason,11
old,11
plenty,11
polish,11
preferred,11
progress,11
rated,11
regarded,11
reverse,11
school-record,11
scoring,11
seal,11
securely,11
sense,11
sheer,11
short-armed,11
shrine,11
southern,11
speedy,11
stack,11
starter-caliber,11
state's,11
staying,11
string,11
such,11
superb,11
susceptible,11
suspect,11
taller,11
those,11
three-technique,11
underachiever,11
understanding,11
utility,11
wins,11
workload,11
41,10
49,10
75,10
academy,10
adding,10
austin,10
bears,10
beckham,10
boise,10
breakaway,10
bridgewater,10
browns,10
campus,10
cardinals,10
chip,10
creating,10
cutback,10
dedication,10
demonstrates,10
displayed,10
eagles,10
east-west,10
evans,10
expect,10
extraordinary,10
eye-popping,10
fair,10
falls,10
featured,10
fights,10
finishes,10
fire,10
form,10
fresno,10
functionally,10
gayle,10
generates,10
hands-catcher,10
hype,10
immediately,10
indiana,10
inferior,10
inflated,10
instant,10
investigated,10
its,10
jean-baptiste,10
jolt,10
jr,10
key,10
latch,10
losses,10
love,10
lowers,10
lucas,10
maintain,10
maturity,10
meniscus,10
mentally,10
minor,10
native,10
nickelback,10
oakland,10
occasional,10
off-field,10
one-cut,10
orange,10
personality,10
place,10
plan,10
powell,10
primary,10
proven,10
putting,10
quarles,10
rams,10
ravens,10
reacting,10
received,10
refined,10
reliability,10
responsibilities,10
rest,10
reynolds,10
score,10
scouting,10
seam,10
seconds,10
shake,10
shoot,10
shorter,10
sink,10
sound,10
spin,10
spots,10
status,10
stunts,10
sure,10
transferring,10
transitional,10
trim,10
turner,10
twice,10
u.s,10
unique,10
violence,10
walk,10
wingspan,10
workhorse,10
2004,9
57,9
academically,9
accolades,9
afraid,9
arrested,9
atkinson,9
attempt,9
bailey,9
ball-skills,9
baylor,9
began,9
bender,9
blow,9
blue,9
boston,9
carey,9
choppy,9
cincinnati,9
clearly,9
commitment,9
corners,9
crichton,9
critical,9
dallas,9
david,9
defensed,9
definition,9
demonstrated,9
dismissed,9
disrupt,9
doing,9
dolphins,9
dominating,9
drives,9
element,9
elevate,9
engaged,9
equipped,9
evaluators,9
exposes,9
fakes,9
focused,9
ford,9
gator,9
got,9
h-back,9
habit,9
heavily,9
held,9
high-cut,9
highpoint,9
hot,9
join,9
juco,9
knack,9
knows,9
kouandjio,9
lock,9
locked,9
loves,9
lower-body,9
lowering,9
40245,
maryland,9
maxed,9
mean,9
military,9
misses,9
mistakes,9
moore,9
morris,9
mover,9
nationally,9
necessary,9
nfl-caliber,9
nix,9
odd,9
offenses,9
order,9
outmuscled,9
overly,9
pace,9
pack,9
packers,9
pedigree,9
picks,9
pittsburgh,9
plus,9
positive,9
previous,9
price,9
primarily,9
probably,9
ranges,9
ranks,9
reaction,9
reactor,9
readily,9
receive,9
remain,9
rivals,9
robert,9
rose,9
russell,9
scrappy,9
see-and-go,9
seferian-jenkins,9
serve,9
share,9
shock,9
short-to-intermediate,9
sinks,9
smallish,9
solo,9
spaces,9
square,9
standing,9
stature,9
stayed,9
straight-linish,9
striking,9
stuck,9
successful,9
sum,9
tampa,9
these,9
thought,9
three-point,9
tires,9
tries,9
trojans,9
turnovers,9
two-gap,9
typically,9
uko,9
university,9
webster,9
wiggle,9
wrist,9
35,8
49ers,8
52,8
9.5,8
accountable,8
adds,8
all-sun,8
all-wac,8
allen,8
appeal,8
arrive,8
arrives,8
attempting,8
battled,8
biggest,8
blanket,8
brian,8
bubble,8
bull-rush,8
byu,8
camp,8
candidate,8
card,8
central,8
changes,8
chunk,8
coached,8
cockrell,8
colorado,8
comparison,8
competitor,8
complementary,8
conditioning,8
contend,8
continues,8
controls,8
covering,8
covers,8
creases,8
credited,8
crowell,8
cut-blocks,8
days,8
decision-making,8
defending,8
deliver,8
denver,8
didn,8
disappears,8
division-ii,8
downs,8
dt,8
ealy,8
engage,8
equally,8
escape,8
established,8
ever,8
everything,8
failed,8
feisty,8
first-round,8
flag,8
forgo,8
found,8
francisco,8
further,8
gaines,8
gators,8
gravity,8
grimble,8
habits,8
hampton,8
he'd,8
heady,8
helps,8
higher,8
highest,8
hung,8
immature,8
important,8
inconsistency,8
increasingly,8
isn,8
jammer,8
40185,
john,8
kept,8
kickoff-return,8
landing,8
larger,8
latches,8
leads,8
limiting,8
lineup,8
load,8
logged,8
louisville,8
mobile,8
name,8
nebraska,8
nimble,8
none,8
now,8
obviously,8
operating,8
originally,8
orleans,8
overcome,8
pagan,8
pass-catcher,8
patriots,8
pectoral,8
plant-and-drive,8
play-action,8
playbook,8
possible,8
posted,8
programs,8
prototypical,8
pursue,8
raiders,8
reception,8
registered,8
relying,8
remains,8
runners,8
rushes,8
sankey,8
sat,8
scholarship,8
scout.com,8
seahawks,8
seattle,8
seek,8
seems,8
sell,8
seminoles,8
serving,8
short-yardage,8
shuffle,8
sight,8
significantly,8
situational,8
slides,8
smarts,8
starring,8
steelers,8
supporting,8
sutton,8
swagger,8
swivel,8
system,8
taken,8
te,8
test,8
thank,8
therefore,8
thing,8
thrown,8
today's,8
tore,8
toward,8
tracked,8
trying,8
two-star,8
upper-body,8
usually,8
valuable,8
virtually,8
walter,8
ways,8
western,8
wilson,8
wiry,8
wisconsin,8
workouts,8
yankey,8
year's,8
000-yard,7
1.5,7
10.5,7
100-plus,7
11.5,7
13.5,7
3,7
38,7
4,7
53,7
6,7
60,7
62,7
64,7
8.5,7
absorb,7
advanced,7
affected,7
ahead,7
andre,7
andrews,7
announced,7
anyone,7
appearing,7
arc,7
arkansas,7
athletes,7
attended,7
aware,7
back-up,7
background,7
battery,7
battle,7
beating,7
born,7
bring,7
buzz,7
cause,7
challenge,7
challenged,7
championships,7
change-of-pace,7
chops,7
clarke,7
classic,7
club,7
coast,7
cognizant,7
compactly,7
complement,7
contained,7
conversion,7
converted,7
convince,7
correct,7
counter,7
county,7
cousin,7
currently,7
cut-back,7
dedicated,7
delivers,7
dependability,7
desire,7
dig,7
dinged,7
disappointing,7
displaying,7
dominated,7
don't,7
done,7
double-digit,7
double-teams,7
effectiveness,7
eligible,7
eliminate,7
every-down,7
excel,7
expectations,7
faced,7
failing,7
fans,7
fast-flowing,7
fifth,7
finds,7
five-star,7
fluidly,7
fluker,7
followed,7
fork,7
gifts,7
girth,7
greater,7
grow,7
hash,7
hawkins,7
height-weight-speed,7
heisman,7
hitchens,7
hitting,7
hurries,7
in-state,7
inaccurate,7
indianapolis,7
injured,7
intermittent,7
jackson's,7
jadeveon,7
jeff,7
40365,
kansas,7
known,7
landry,7
late-round,7
latimer,7
lb,7
lesser,7
long-limbed,7
longer,7
loosely,7
mack,7
makeup,7
man-coverage,7
maneuver,7
mechanics,7
meters,7
mix,7
modest,7
moldable,7
mother,7
nagging,7
nicely,7
nicknamed,7
nifty,7
northwestern,7
opens,7
our,7
paul,7
pedestrian,7
performances,7
plucks,7
pops,7
post,7
product,7
properly,7
protector,7
providing,7
pursues,7
pushing,7
quarters,7
ratio,7
reason,7
recent,7
recruiting,7
red-zone,7
reese,7
registering,7
reid,7
releases,7
relentless,7
rice,7
road,7
saban,7
saints,7
saunders,7
scene,7
seen,7
seldom,7
shared,7
sidestep,7
sixth,7
sliding,7
slippery,7
small-framed,7
spatial,7
specialist,7
spend,7
starred,7
steam,7
sticks,7
stiff-arm,7
syracuse,7
team-best,7
technical,7
thickness,7
thomas',7
threaten,7
tick,7
titans,7
told,7
tougher,7
tread,7
ucla,7
unanimous,7
underdeveloped,7
uneven,7
union,7
untapped,7
velocity,7
vocal,7
voted,7
wanes,7
ward,7
watching,7
weapon,7
wild,7
wildcat,7
workout,7
worth,7
wow,7
wrapping,7
0,6
14.5,6
1996,6
20.5,6
2011-12,6
24-year-old,6
400,6
44,6
46,6
5,6
51,6
56,6
92,6
accomplished,6
actually,6
aggies,6
aggressiveness,6
all-caa,6
anchors,6
40273,
archer,6
array,6
assignments,6
‹,6
barnett,6
beaten,6
benefited,6
big-bodied,6
big-time,6
blend,6
board,6
boards,6
bone,6
bothered,6
brandon,6
breakup,6
broad-shouldered,6
buccaneers,6
buffalo,6
bury,6
bust,6
calls,6
capped,6
care,6
carried,6
catch-and-go,6
caused,6
charges,6
chunks,6
closely,6
clubs,6
collapse,6
colts,6
combo,6
committee,6
crimson,6
crude,6
daylight,6
deceiving,6
defend,6
deployed,6
desir,6
diet,6
direct,6
dirty,6
double-moves,6
dull,6
earlier,6
ebron,6
emotional,6
enemkpali,6
england,6
evident,6
explodes,6
facing,6
fails,6
FALSE,6
feature,6
fill,6
flat,6
flatten,6
flip,6
fluctuated,6
football-playing,6
forcing,6
fronts,6
fsu,6
fuller,6
fumbled,6
fundamentally,6
gains,6
gamecocks,6
general,6
glass,6
goal-line,6
grades,6
groin,6
group,6
hamstring,6
handful,6
handling,6
hesitate,6
home-run,6
humble,6
hurt,6
hustle,6
hyde,6
illinois,6
impactful,6
improving,6
incident,6
indicate,6
ineligible,6
inexperienced,6
intercept,6
intimidating,6
iq,6
irish,6
itself,6
jeffcoat,6
joining,6
jose,6
joyner,6
jumps,6
justin,6
kentucky,6
kickoffs,6
know,6
ladder,6
lattimore,6
learned,6
lewis,6
likeable,6
limit,6
lions,6
living,6
locks,6
los,6
louisiana,6
mac,6
main,6
maintains,6
manning,6
marqise,6
matched,6
matching,6
midsection,6
mirrors,6
misdirection,6
mitts,6
mobility,6
motivation,6
n.c,6
narrow-framed,6
negating,6
nick,6
norwood,6
40487,
nuanced,6
40456,
40456,
off-target,6
olb,6
older,6
one-year,6
oregon's,6
over-arm,6
overlooked,6
overwhelmed,6
panthers,6
people,6
percent,6
phase,6
philadelphia,6
pounding,6
precision,6
preparation,6
press-man,6
probation,6
producing,6
projecting,6
prone,6
provides,6
punching,6
purdue,6
puts,6
qualify,6
qualities,6
radar,6
re-route,6
reaching,6
reacts,6
recognize,6
redd,6
redirects,6
remaining,6
reps,6
reputation,6
rhodes,6
rhythm,6
roberson,6
run-stuffing,6
rutgers,6
ryan,6
sacrifices,6
sammy,6
sawyer,6
schools,6
scratching,6
seeks,6
seventh,6
shazier,6
shedding,6
shield,6
shoots,6
sidelined,6
size-speed,6
skinny,6
slips,6
sooners,6
spectacular,6
spending,6
spends,6
sprained,6
squad,6
sr,6
stamina,6
stellar,6
streaky,6
stretch,6
striker,6
strong-side,6
stunt,6
sugar,6
suggests,6
super,6
surface,6
surprised,6
swing,6
switched,6
tackle-breaker,6
take-on,6
talents,6
thanks,6
things,6
tipton,6
toe,6
tracking,6
trap,6
trenches,6
tuck,6
turf,6
underclassmen,6
unnecessary,6
van,6
vanderbilt,6
vincent,6
violently,6
wasn,6
weak-side,6
weakside,6
wear,6
westbrooks,6
wiht,6
wildcats,6
worthy,6
1992,5
47,5
40307,5
50-50,5
58,5
40329,5
61,5
67,5
77,5
84,5
absorbing,5
accelerator,5
accurate,5
adams,5
adequate-sized,5
adjusting,5
aikens,5
all-miaa,5
all-ovc,5
all-southland,5
all-star,5
alley,5
am,5
andrew,5
angeles,5
anticipates,5
appealing,5
areas,5
arrest,5
arriving,5
arrow,5
assault,5
asset,5
average-at-best,5
awards,5
baltimore,5
barr,5
basis,5
bat,5
beats,5
bednarik,5
belue,5
bench,5
bengals,5
biting,5
blacksburg,5
blind,5
blitzes,5
bo,5
boundary,5
bowling,5
bradshaw,5
break-ups,5
brute,5
bucannon,5
build-up,5
butkus,5
calif,5
career-highs,5
carr,5
categories,5
chances,5
characterized,5
charge,5
charged,5
choosing,5
chris,5
city,5
clady,5
cleveland,5
click-and-close,5
climb,5
closed,5
clutch,5
cold,5
collecting,5
columbus,5
combat,5
combining,5
committing,5
complete,5
concepts,5
consensus,5
content,5
contort,5
controlling,5
cooks,5
corey,5
credit,5
crossing,5
cultivate,5
cushion,5
40516,
deciding,5
dennard,5
denying,5
diagnosing,5
diagnosis,5
diagnostic,5
dictate,5
dimensions,5
discard,5
distance,5
dixon,5
draftable,5
drag,5
drill,5
duty,5
ejected,5
elbow,5
electric,5
elevated,5
enables,5
engages,5
enjoy,5
enrolled,5
enrolling,5
eric,5
establishing,5
everyone,5
example,5
exploding,5
exum,5
fan,5
fastest,5
fearless,5
fend,5
fiery,5
filling,5
film,5
finally,5
flanders,5
flattens,5
flaws,5
fluellen,5
fooled,5
forceful,5
forcefully,5
freelance,5
freeze,5
function,5
fundamentals,5
grasp,5
greatest,5
gritty,5
grounded,5
