row_idx	row_name	col_idx	col_name	diff	away	home	initial_chances	if_home	if_away	sig
5	PIT @ JAC	15	TEN	0.001	PIT	JAC	0.069	0.068	0.069	0
5	PIT @ JAC	16	JAC	0	PIT	JAC	0	0	0	1
6	CIN @ NE	1	BUF	0.062	CIN	NE	0.258	0.234	0.295	1
6	CIN @ NE	2	NE	0.175	CIN	NE	0.572	0.642	0.467	1
6	CIN @ NE	3	MIA	0.043	CIN	NE	0.223	0.206	0.249	1
6	CIN @ NE	4	NYJ	0.016	CIN	NE	0.057	0.05	0.066	1
6	CIN @ NE	5	CIN	0.115	CIN	NE	0.863	0.818	0.932	1
6	CIN @ NE	6	BAL	0.004	CIN	NE	0.717	0.716	0.719	0
6	CIN @ NE	7	PIT	0.006	CIN	NE	0.123	0.126	0.119	0
6	CIN @ NE	8	CLE	0.005	CIN	NE	0.058	0.06	0.055	0
6	CIN @ NE	9	SD	0.027	CIN	NE	0.615	0.626	0.599	0
6	CIN @ NE	10	DEN	0.002	CIN	NE	0.932	0.932	0.934	0
6	CIN @ NE	11	KC	0.012	CIN	NE	0.241	0.246	0.234	0
6	CIN @ NE	12	OAK	0	CIN	NE	0	0	0	0
6	CIN @ NE	13	IND	0.006	CIN	NE	0.687	0.685	0.691	0
6	CIN @ NE	14	HOU	0.029	CIN	NE	0.583	0.594	0.566	0
6	CIN @ NE	15	TEN	0.007	CIN	NE	0.069	0.066	0.073	0
6	CIN @ NE	16	JAC	0	CIN	NE	0	0	0	0
7	NYJ @ SD	1	BUF	0.014	NYJ	SD	0.258	0.262	0.248	0
7	NYJ @ SD	2	NE	0.008	NYJ	SD	0.572	0.57	0.578	1
7	NYJ @ SD	3	MIA	0.006	NYJ	SD	0.223	0.225	0.218	1
7	NYJ @ SD	4	NYJ	0.06	NYJ	SD	0.057	0.041	0.101	1
7	NYJ @ SD	5	CIN	0.018	NYJ	SD	0.863	0.859	0.876	1
7	NYJ @ SD	6	BAL	0.004	NYJ	SD	0.717	0.716	0.72	1
7	NYJ @ SD	7	PIT	0.024	NYJ	SD	0.123	0.117	0.141	1
7	NYJ @ SD	8	CLE	0.015	NYJ	SD	0.058	0.054	0.069	1
7	NYJ @ SD	9	SD	0.199	NYJ	SD	0.615	0.668	0.469	1
7	NYJ @ SD	10	DEN	0.01	NYJ	SD	0.932	0.93	0.94	1
7	NYJ @ SD	11	KC	0.018	NYJ	SD	0.241	0.236	0.254	1
7	NYJ @ SD	12	OAK	0	NYJ	SD	0	0	0	0
7	NYJ @ SD	13	IND	0.045	NYJ	SD	0.687	0.675	0.721	1
7	NYJ @ SD	14	HOU	0.009	NYJ	SD	0.583	0.581	0.59	1
7	NYJ @ SD	15	TEN	0.009	NYJ	SD	0.069	0.066	0.075	1
7	NYJ @ SD	16	JAC	0	NYJ	SD	0	0	0	0
8	KC @ SF	1	BUF	0.004	KC	SF	0.258	0.257	0.261	0
8	KC @ SF	2	NE	0.008	KC	SF	0.572	0.57	0.578	0
8	KC @ SF	3	MIA	0.021	KC	SF	0.223	0.229	0.208	0
8	KC @ SF	4	NYJ	0.007	KC	SF	0.057	0.058	0.052	0
8	KC @ SF	5	CIN	0.009	KC	SF	0.863	0.866	0.857	0
8	KC @ SF	6	BAL	0.019	KC	SF	0.717	0.722	0.704	1
8	KC @ SF	7	PIT	0.009	KC	SF	0.123	0.125	0.117	1
8	KC @ SF	8	CLE	0.002	KC	SF	0.058	0.059	0.056	1
8	KC @ SF	9	SD	0.047	KC	SF	0.615	0.628	0.581	1
8	KC @ SF	10	DEN	0.017	KC	SF	0.932	0.937	0.92	1
8	KC @ SF	11	KC	0.151	KC	SF	0.241	0.2	0.351	1
8	KC @ SF	12	OAK	0	KC	SF	0	0	0	0
8	KC @ SF	13	IND	0.01	KC	SF	0.687	0.69	0.68	1
8	KC @ SF	14	HOU	0.014	KC	SF	0.583	0.587	0.573	1
8	KC @ SF	15	TEN	0.008	KC	SF	0.069	0.071	0.063	0
8	KC @ SF	16	JAC	0	KC	SF	0	0	0	0
9	CLE @ TEN	1	BUF	0.003	CLE	TEN	0.258	0.257	0.26	0
9	CLE @ TEN	2	NE	0.013	CLE	TEN	0.572	0.578	0.565	0
9	CLE @ TEN	3	MIA	0.015	CLE	TEN	0.223	0.217	0.231	0
9	CLE @ TEN	4	NYJ	0.003	CLE	TEN	0.057	0.058	0.055	0
9	CLE @ TEN	5	CIN	0.008	CLE	TEN	0.863	0.867	0.859	0
9	CLE @ TEN	6	BAL	0.001	CLE	TEN	0.717	0.717	0.718	0
9	CLE @ TEN	7	PIT	0.006	CLE	TEN	0.123	0.126	0.12	0
9	CLE @ TEN	8	CLE	0.062	CLE	TEN	0.058	0.032	0.094	1
9	CLE @ TEN	9	SD	0.015	CLE	TEN	0.615	0.622	0.607	0
9	CLE @ TEN	10	DEN	0.008	CLE	TEN	0.932	0.936	0.928	0
9	CLE @ TEN	11	KC	0.005	CLE	TEN	0.241	0.239	0.244	0
9	CLE @ TEN	12	OAK	0	CLE	TEN	0	0	0	0
9	CLE @ TEN	13	IND	0.014	CLE	TEN	0.687	0.681	0.696	0
9	CLE @ TEN	14	HOU	0.014	CLE	TEN	0.583	0.577	0.591	0
9	CLE @ TEN	15	TEN	0.062	CLE	TEN	0.069	0.095	0.033	1
9	CLE @ TEN	16	JAC	0	CLE	TEN	0	0	0	0
