day
27722
27539
27221
27194
26951
26914
26890
26866
26761
26638
26527
26455
26416
26406
26378
26300
26240
26204
26172
26129
26111
26064
26047
26013
25963
25864
25856
25791
25771
25714
25669
25617
25588
25521
25519
25512
25510
25500
25496
25489
25473
25448
25436
25430
25408
25396
25381
25327
25315
25310
25291
25269
25201
25159
25154
25127
25073
25023
25006
24994
24936
24932
24879
24849
24838
24827
24821
24798
24732
24720
24701
24652
24634
24628
24617
24594
24582
24567
24563
24549
24518
24513
24506
24497
24485
24469
24460
24441
24424
24415
24379
24363
24354
24336
24311
24309
24307
24302
24301
24211
24206
24172
24145
24080
24067
24060
24040
24031
24024
24000
23985
23958
23956
23932
23930
23930
23930
23910
23877
23871
23846
23831
23824
23793
23792
23783
23775
23766
23743
23741
23738
23728
23713
23705
23704
23701
23686
23663
23651
23636
23622
23617
23616
23590
23590
23567
23561
23554
23551
23542
23525
23490
23488
23481
23473
23472
23466
23454
23443
23443
23435
23409
23406
23405
23403
23400
23376
23374
23351
23336
23330
23324
23316
23313
23302
23293
23293
23285
23276
23266
23253
23251
23249
23238
23223
23207
23192
23180
23175
23169
23148
23143
23137
23134
23125
23120
23119
23097
23090
23077
23068
23043
23039
23034
23032
23004
23000
22996
22974
22965
22961
22953
22950
22904
22900
22893
22891
22882
22877
22872
22863
22861
22856
22850
22839
22838
22820
22818
22804
22796
22779
22777
22775
22734
22728
22726
22715
22712
22710
22705
22703
22698
22683
22681
22669
22642
22632
22630
22628
22625
22586
22585
22583
22577
22573
22562
22556
22555
22555
22532
22528
22522
22521
22520
22520
22504
22490
22485
22474
22473
22468
22460
22453
22449
22444
22423
22414
22411
22404
22402
22399
22396
22374
22373
22369
22360
22350
22348
22346
22342
22339
22334
22330
22321
22305
22298
22296
22287
22285
22272
22255
22246
22243
22243
22238
22236
22226
22225
22222
22216
22214
22211
22208
22206
22197
22169
22169
22147
22138
22125
22124
22110
22110
22099
22094
22085
22062
22062
22061
22057
22043
22036
22036
22024
22020
22019
22017
22015
22010
21969
21958
21956
21940
21939
21938
21899
21899
21898
21877
21871
21853
21852
21850
21836
21834
21831
21830
21814
21810
21802
21798
21797
21794
21788
21780
21761
21753
21739
21729
21721
21720
21698
21691
21687
21681
21678
21668
21667
21665
21653
21652
21637
21637
21622
21619
21619
21617
21594
21586
21568
21563
21554
21550
21548
21545
21543
21515
21503
21486
21485
21479
21477
21476
21475
21474
21458
21452
21451
21442
21429
21429
21416
21409
21406
21388
21384
21379
21371
21369
21355
21355
21350
21349
21345
21327
21320
21319
21289
21284
21273
21266
21241
21237
21215
21213
21207
21177
21128
21122
21110
21103
21091
21088
21061
21059
21045
21035
21035
21008
20989
20987
20972
20945
20932
20910
20907
20883
20869
20868
20863
20778
20771
20761
20750
20747
20736
20717
20689
20666
20653
20641
20611
20598
20562
20551
20521
20226
20115
